bankId,product,customer,ratePercent,minDays,maxDays,tenureLabel,minAmount,maxAmount,amountLabel,scheme,sourceUrl,effectiveDate
bob,FD,GENERAL,6.7,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,7.2,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,7.3,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,6.75,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,7.25,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,7.35,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,6.5,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,7,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,7.1,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,6.45,444,444,444 days (bob Square Drive),0,30000000,Below ₹3 crore (retail),bob Square Drive 444 days,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,6.95,444,444,444 days (bob Square Drive),0,30000000,Below ₹3 crore (retail),bob Square Drive 444 days,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,7.05,444,444,444 days (bob Square Drive),0,30000000,Below ₹3 crore (retail),bob Square Drive 444 days,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,GENERAL,6.25,365,729,1 year to < 2 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,SENIOR,6.75,365,729,1 year to < 2 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,GENERAL,6.7,730,1094,2 years to < 3 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,SENIOR,7.2,730,1094,2 years to < 3 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,GENERAL,6.75,1095,1824,3 years to < 5 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,SENIOR,7.25,1095,1824,3 years to < 5 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,GENERAL,6.5,1825,3650,5 years to 10 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,RD,SENIOR,7,1825,3650,5 years to 10 years,0,,Any amount,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,SAVINGS,GENERAL,2.75,0,,Any tenure,0,,All balances,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,SAVINGS,SENIOR,2.75,0,,Any tenure,0,,All balances,,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
pnb,FD,GENERAL,3.5,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,SENIOR,4,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,GENERAL,4.75,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,SENIOR,5.25,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,GENERAL,5.75,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,SENIOR,6.25,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,GENERAL,6.25,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,SENIOR,6.75,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,GENERAL,6.25,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,SENIOR,6.75,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,GENERAL,6.6,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
pnb,FD,SENIOR,7.1,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.paisabazaar.com/fixed-deposit/,2026-09-11
