bankId,product,customer,ratePercent,minDays,maxDays,tenureLabel,minAmount,maxAmount,amountLabel,scheme,sourceUrl,effectiveDate
boi,RD,SENIOR,,1095,1824,3 years to < 5 years,0,,Any amount,,https://bankofindia.co.in,
boi,RD,GENERAL,,1825,3650,5 years to 10 years,0,,Any amount,,https://bankofindia.co.in,
boi,RD,SENIOR,,1825,3650,5 years to 10 years,0,,Any amount,,https://bankofindia.co.in,
boi,SAVINGS,GENERAL,,0,,Any tenure,0,10000000,Below ₹1 crore,,https://bankofindia.co.in,
boi,SAVINGS,GENERAL,,0,,Any tenure,10000000,,₹1 crore & above,,https://bankofindia.co.in,
indian,FD,GENERAL,,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,GENERAL,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,FD,SENIOR,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.indianbank.in,
indian,RD,GENERAL,,365,729,1 year to < 2 years,0,,Any amount,,https://www.indianbank.in,
indian,RD,SENIOR,,365,729,1 year to < 2 years,0,,Any amount,,https://www.indianbank.in,
indian,RD,GENERAL,,730,1094,2 years to < 3 years,0,,Any amount,,https://www.indianbank.in,
indian,RD,SENIOR,,730,1094,2 years to < 3 years,0,,Any amount,,https://www.indianbank.in,
indian,RD,GENERAL,,1095,1824,3 years to < 5 years,0,,Any amount,,https://www.indianbank.in,
